msisdn,activation_date,cell_id,Date_of_birth,Value_band,tenure,service_class,total_spent,voice_spent,data_spent,sms_spent,other_spent,int_out_duration,int_out_count,out_billed_sms_count,out_unbilled_sms_count,total_sms_count,onnet_sms_count,offnet_sms_count,int_sms_count,gpprs_traffic_up_down,fnf_in_use,call_me_back,out_mms_count,out_mms_usage,peak_out_count,out_call_duration_billed,gpprs_traffic_up_down_billed,off_peak_out_count,onnet_count,offnet_count,out_call_duration,onnet_call_duration,offnet_call_duration,midnight_out_duration,midnight_out_count,int_inc_count,onnet_inc_count,onnet_inc_dur,offnet_inc_count,offnet_inc_dur,inc_sms_count,peak_inc_count,peak_inc_dur,off_peak_inc_count,off_peak_inc_dur,inc_call_duration,midnight_inc_duration,midnight_inc_count,total_recharge_count,total_recharge_amount,recharge_card_count,recharge_card_amount,recharge_evd_count,recharge_evd_amount,recharge_momo_count,recharge_momo_amount,subscription_amt,Total_Revenue,momo_fees,vas_spent,data_bundled_purchase,tenure_years,age,Revenue_per_Minute,Recharge_Frequency,Cluster,Segment_Label
331F45E9DFBA1FD1,06-Aug-2008,62001-22919-1219585,1990-12-08,HMV,203,4,35.26419300000001,7.079999999999997,9.864193,0.12,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,5.0,1678.0,0,0.0,0.0,0.0,0.0,331.81666666666666,1103.0,0.0,430.0,21.0,333.71666666666664,322.9,10.816666666666666,0.0,0.0,0.0,179.0,97.0,0.0,0.0,0.0,147.0,83.0,30.0,14.0,97.0,0.0,2.0,5.0,36.01,0.0,0.0,2.0,18.0,3.0,18.009999999999998,17.6,74.11419300000001,21.25,18.2,19.0,16.673972602739727,34.347945205479455,0.021272973108317886,6.001666666666666,4,Call Heavy User
9FEA2DC200939059,11-Feb-2014,62001-60104-445,1987-03-22,HMV,136,3,11.94927,10.19927,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,427.98333333333335,0.0,0.0,312.0,4.0,439.85,432.4166666666667,3.2,0.0,0.0,0.0,444.0,359.0,0.0,0.0,0.0,389.0,309.0,17.0,3.0,359.0,0.0,15.0,10.0,62.0,0.0,0.0,1.0,10.0,9.0,52.0,50.05,76.79926999999999,14.799999999999995,1.75,19.0,11.153424657534247,38.06575342465754,0.023775445821515986,5.636363636363637,4,Call Heavy User
995F8CFB441F3220,21-Feb-2020,62001-35611-252420,2002-12-25,HMV,62,1,36.78456299999999,33.38456299999997,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,12.0,0.0,0.0,6767.0,9,0.0,0.0,0.0,0.0,577.1,0.0,0.0,499.0,4.0,578.5666666666667,574.2833333333333,4.283333333333333,0.0,0.0,0.0,298.0,142.0,0.0,0.0,0.0,267.0,123.0,11.0,4.0,142.0,0.0,0.0,12.0,57.0,0.0,0.0,0.0,0.0,12.0,57.0,52.3,98.084563,9.0,3.4,2.0,5.123287671232877,22.293150684931508,0.0577487683791731,4.384615384615385,4,Call Heavy User
CE9C03887ECC9640,06-Sep-2017,62001-20440-28234,1981-06-05,HMV,92,1,10.027167,10.027167,0.0,0.0,0.0,0.0,0.0,0.0,706.0,706.0,646.0,60.0,0.0,1659.0,0,0.0,0.0,0.0,0.0,457.28333333333336,0.0,0.0,228.0,7.0,457.28333333333336,450.6166666666667,6.666666666666667,0.0,0.0,0.0,185.0,296.0,0.0,0.0,0.0,163.0,261.0,9.0,17.0,296.0,0.0,0.0,11.0,41.0,0.0,0.0,1.0,2.0,10.0,39.0,31.0,55.897167,14.87,0.0,6.0,7.583561643835616,43.863013698630134,0.021879842164599775,3.4166666666666665,4,Call Heavy User
496070ED7E5D07CB,20-Dec-2018,62001-756-58424,1999-08-19,HMV,76,1,4.588865,4.588865,0.0,0.0,0.0,0.0,0.0,50.0,917.0,967.0,966.0,1.0,0.0,6201.0,0,0.0,0.0,0.0,0.0,834.1833333333333,0.0,0.0,282.0,1.0,1834.2166666666667,1833.7166666666667,0.5,0.0,0.0,0.0,284.0,1294.0,0.0,0.0,0.0,248.0,917.0,6.0,2.0,1294.0,0.0,0.0,7.0,9.0,0.0,0.0,1.0,1.0,6.0,8.0,64.35,85.43886499999999,16.5,0.0,44.0,6.295890410958904,25.646575342465752,0.005494440342439785,1.125,2,Peak-Time Receiver
B2212FC89528E665,19-Nov-2016,62001-17104-103437,1999-04-29,HMV,102,3,0.002485,0.002485,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,14.0,1.0,0.0,29378.0,0,0.0,0.0,0.0,0.0,186.7,0.0,0.0,138.0,3.0,189.38333333333333,186.91666666666663,2.466666666666667,0.0,0.0,0.0,195.0,332.0,0.0,0.0,0.0,184.0,320.0,1.0,0.0,332.0,0.0,0.0,11.0,81.0,0.0,0.0,1.0,10.0,10.0,71.0,84.15,93.632485,9.48,0.0,63.0,8.38082191780822,25.953424657534246,1.3239211507725093e-05,6.75,4,Call Heavy User
F9B6DDFC1A4D8A8D,08-Apr-2016,62001-50835-7313,1993-01-06,HMV,109,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34890.0,0,0.0,0.0,0.0,0.0,126.56666666666666,0.0,0.0,100.0,7.0,126.56666666666666,117.28333333333332,9.283333333333331,0.0,0.0,0.0,122.0,53.0,0.0,0.0,0.0,110.0,50.0,7.0,1.0,53.0,0.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,2.0,15.0,28.0,56.78,28.78,0.0,28.0,8.997260273972604,32.26575342465753,0.0,5.0,4,Call Heavy User
7B2A957B38F86A75,24-Apr-2020,62001-15710-669711,1990-10-27,HMV,60,3,0.999384,0.999384,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,120.0,1.0,0.0,8704.0,0,0.0,0.0,0.0,0.0,364.98333333333335,0.0,0.0,229.0,1.0,364.98333333333335,364.73333333333335,0.25,0.0,0.0,0.0,140.0,126.0,0.0,0.0,0.0,104.0,104.0,12.0,10.0,126.0,4.0,10.0,2.0,6.0,0.0,0.0,1.0,5.0,1.0,1.0,40.2,60.799384,19.6,0.0,19.0,4.950684931506849,34.463013698630135,0.0027306817250330163,2.0,4,Call Heavy User
F22645CEABB0D0BE,11-May-2015,62001-11113-153909624,1981-01-29,HMV,120,1,1.6061329999999998,1.6061329999999998,0.0,0.0,0.0,0.0,0.0,0.0,353.0,353.0,350.0,3.0,0.0,5310.0,0,0.0,0.0,0.0,0.0,617.7,0.0,0.0,189.0,2.0,617.8833333333333,615.3166666666667,2.566666666666667,0.0,0.0,0.0,157.0,303.0,0.0,0.0,0.0,131.0,221.0,6.0,10.0,303.0,4.0,1.0,4.0,35.0,0.0,0.0,0.0,0.0,4.0,35.0,59.0,70.986133,10.38,0.0,17.0,9.90958904109589,44.21095890410959,0.002595980281234847,7.0,4,Call Heavy User
82ED893B25255E62,10-May-2022,62001-30743-52757,1996-10-05,HMV,35,4,1.9384,1.2384,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10.0,1.0,0.0,4909.0,88,0.0,0.0,0.0,0.0,906.1333333333332,0.0,0.0,368.0,28.0,906.1333333333332,851.3833333333333,54.75,0.0,0.0,0.0,296.0,1056.0,0.0,0.0,0.0,227.0,730.0,25.0,44.0,1056.0,0.0,0.0,2.0,2.9400000000000004,0.0,0.0,0.0,0.0,2.0,2.9400000000000004,65.5,83.7784,16.339999999999996,0.7,1.5,2.9068493150684933,28.517808219178082,0.0013651796869258472,0.9800000000000001,2,Peak-Time Receiver
